"Name","Sex","Age","Country","Year","Event","Medal","Population","GDP_per_Capita","Density","HappinessRank","HappinessScore","total_medal_amount"
"Jean Wicki","M",38,"SUI",1972,"Bobsleigh Men's Four","Gold",8286976,80945.07922,219,5,7.487,275
"Lydia (Lyydi-) Wideman (-Lehtonen)","F",31,"FIN",1952,"Cross Country Skiing Women's 10 kilometres","Gold",5482013,42311.03623,18,1,7.632,426
"Andreas Widhlzl","M",21,"AUT",1998,"Ski Jumping Men's Normal Hill, Individual","Bronze",8611088,43774.98517,109,12,7.139,280
"Andreas Widhlzl","M",21,"AUT",1998,"Ski Jumping Men's Large Hill, Team","Bronze",8611088,43774.98517,109,12,7.139,280
"Andreas Widhlzl","M",29,"AUT",2006,"Ski Jumping Men's Large Hill, Team","Gold",8611088,43774.98517,109,12,7.139,280
"Dorothea Wierer","F",23,"ITA",2014,"Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay","Bronze",60802085,29957.80432,206,47,6,191
"Emma Christina Wikn","F",24,"SWE",2014,"Cross Country Skiing Women's 4 x 5 kilometres Relay","Gold",9798871,50579.67365,25,9,7.314,428
"Elis Wiklund","M",26,"SWE",1936,"Cross Country Skiing Men's 50 kilometres","Gold",9798871,50579.67365,25,9,7.314,428
"Tord Erik Wiksten","M",20,"SWE",1992,"Biathlon Men's 4 x 7.5 kilometres Relay","Bronze",9798871,50579.67365,25,9,7.314,428
"Axel Theodor Wikstrm","M",24,"SWE",1932,"Cross Country Skiing Men's 18 kilometres","Silver",9798871,50579.67365,25,9,7.314,428
"Axel Theodor Wikstrm","M",28,"SWE",1936,"Cross Country Skiing Men's 50 kilometres","Silver",9798871,50579.67365,25,9,7.314,428
"Victor Ivan ""Vic"" Wild","M",27,"RUS",2014,"Snowboarding Men's Parallel Giant Slalom","Gold",144096812,9092.580536,9,59,5.81,260
"Victor Ivan ""Vic"" Wild","M",27,"RUS",2014,"Snowboarding Men's Parallel Slalom","Gold",144096812,9092.580536,9,59,5.81,260
"Katarina ""Kati"" Wilhelm","F",25,"GER",2002,"Biathlon Women's 7.5 kilometres Sprint","Gold",81413145,41313.31399,240,15,6.965,386
"Katarina ""Kati"" Wilhelm","F",25,"GER",2002,"Biathlon Women's 10 kilometres Pursuit","Silver",81413145,41313.31399,240,15,6.965,386
"Katarina ""Kati"" Wilhelm","F",25,"GER",2002,"Biathlon Women's 4 x 7.5 kilometres Relay","Gold",81413145,41313.31399,240,15,6.965,386
"Katarina ""Kati"" Wilhelm","F",29,"GER",2006,"Biathlon Women's 10 kilometres Pursuit","Gold",81413145,41313.31399,240,15,6.965,386
"Katarina ""Kati"" Wilhelm","F",29,"GER",2006,"Biathlon Women's 12.5 kilometres Mass Start","Silver",81413145,41313.31399,240,15,6.965,386
"Katarina ""Kati"" Wilhelm","F",29,"GER",2006,"Biathlon Women's 4 x 6 kilometres Relay","Silver",81413145,41313.31399,240,15,6.965,386
"Katarina ""Kati"" Wilhelm","F",33,"GER",2010,"Biathlon Women's 4 x 6 kilometres Relay","Bronze",81413145,41313.31399,240,15,6.965,386
"Deborah ""Debbi"" Wilkes (-Darroch)","F",17,"CAN",1964,"Figure Skating Mixed Pairs","Silver",35851774,43248.52991,4,7,7.328,611
"Lauryn Chenet Williams","F",30,"USA",2014,"Bobsleigh Women's Two","Silver",321418820,56115.71843,36,18,6.886,635
"Thomas Mark ""Tom"" Williams","M",19,"USA",1960,"Ice Hockey Men's Ice Hockey","Gold",321418820,56115.71843,36,18,6.886,635
"Bryon Wilson","M",21,"USA",2010,"Freestyle Skiing Men's Moguls","Bronze",321418820,56115.71843,36,18,6.886,635
"William Stewart Montgomery ""Bud"" Wilson","M",22,"CAN",1932,"Figure Skating Men's Singles","Bronze",35851774,43248.52991,4,7,7.328,611
"Stacy Eleanor Wilson","F",32,"CAN",1998,"Ice Hockey Women's Ice Hockey","Silver",35851774,43248.52991,4,7,7.328,611
